,action,frame,ball_x,ball_y,player_h1x,player_h1y,player_a1x,player_a1y,player_h2x,player_h2y,player_a2x,player_a2y,player_h3x,player_h3y,player_a3x,player_a3y,player_h4x,player_h4y,player_a4x,player_a4y,player_h5x,player_h5y,player_a5x,player_a5y
122,2,22,31.99,40.147,7.8516,47.067,11.614,40.701,35.023,25.56,32.2,25.367,31.919,38.229,18.508,28.643,24.191,17.373,26.11,33.046,22.614,28.617,19.141,19.01
123,2,23,31.484,40.863,7.3528,47.149,10.99,40.649,34.938,24.362,32.342,24.325,31.057,38.993,18.312,28.35,24.517,18.135,25.65,34.167,21.585,28.216,18.908,19.443
124,2,24,30.415,41.189,6.9496,47.304,10.357,40.666,34.818,23.328,32.39,23.321,30.166,39.614,17.968,27.91,24.825,19.03,25.076,35.066,20.545,27.523,18.811,19.877
125,2,25,29.068,41.358,6.6825,47.531,9.7515,40.713,34.722,22.419,32.401,22.386,29.312,40.096,17.5,27.444,25.144,20.109,24.464,35.843,19.457,26.591,18.602,20.255
126,2,26,28.046,41.996,6.5091,47.789,9.1909,40.739,34.582,21.604,32.152,21.531,28.524,40.449,16.886,26.977,25.522,21.432,23.873,36.552,18.634,25.514,18.471,20.655
127,2,27,27.223,41.892,6.3817,48.026,8.6615,40.717,34.468,20.889,31.725,20.637,27.745,40.729,16.171,26.551,25.828,22.833,23.382,37.154,17.91,24.279,18.549,21.221
128,2,28,25.837,41.561,6.2732,48.212,8.1726,40.673,34.341,19.973,31.059,19.832,27.057,40.998,15.43,26.129,26.153,24.312,22.896,37.637,17.357,23.078,18.771,22.003
129,2,29,25.676,40.437,6.1884,48.29,7.7134,40.647,34.28,19.019,30.511,19.106,26.411,41.276,14.724,25.617,26.382,25.725,22.415,37.983,17.0,21.899,19.232,22.941
130,2,30,26.18,37.814,6.1491,48.295,7.2881,40.687,34.081,17.934,30.016,18.714,25.753,41.501,14.054,25.067,26.427,26.904,21.937,38.203,16.713,20.724,19.842,23.996
131,2,31,26.7,34.633,6.1362,48.239,6.9754,40.773,33.723,16.686,29.34,18.386,24.939,41.695,13.442,24.449,26.421,27.944,21.411,38.294,16.677,19.808,20.192,25.005
132,2,32,27.37,31.406,6.1265,48.101,6.8217,40.836,33.043,15.375,28.551,18.03,23.796,41.72,12.859,23.834,26.319,28.788,20.726,38.218,16.858,18.987,20.414,26.009
